Sentido,Status,Porto,Chegada,Quantidade
Exp,CABOTAGEM,PORTO_DE_SANTOS,17/02/2025; 17/02/2025; 26/02/2025 07:00:00,3
Exp,CONTEINERES,PORTO_DE_SANTOS,17/02/2025 09:00:00; 18/02/2025 10:00:00; 23/02/2025 11:00:00; 09/03/2025 01:00:00; 14/03/2025 08:00:00; 21/03/2025 08:00:00; 23/03/2025 01:00:00,7
Exp,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,24/01/2025 22:48:00; 01/02/2025 10:42:00; 01/02/2025 14:00:00; 02/02/2025 18:54:00; 03/02/2025 05:36:00; 04/02/2025 07:42:00; 04/02/2025 10:54:00; 04/02/2025 15:30:00; 06/02/2025 22:30:00; 06/02/2025 22:45:00; 08/02/2025 08:30:00; 08/02/2025 19:00:00; 09/02/2025 00:01:00; 09/02/2025 00:01:00; 10/02/2025 11:45:00; 10/02/2025 13:30:00; 11/02/2025 11:30:00; 11/02/2025 21:00:00; 12/02/2025 08:30:00; 12/02/2025 10:00:00; 12/02/2025 11:20:00; 12/02/2025 14:00:00; 12/02/2025 16:18:00; 13/02/2025 04:36:00; 13/02/2025 11:42:00; 14/02/2025 11:30:00; 14/02/2025 14:20:00; 14/02/2025 18:30:00; 14/02/2025 23:30:00; 15/02/2025 08:00:00; 15/02/2025 22:18:00; 16/02/2025 00:24:00; 16/02/2025 14:15:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 00:24:00; 17/02/2025 11:15:00; 17/02/2025 14:00:00; 17/02/2025 15:00:00; 18/02/2025 10:00:00; 18/02/2025 10:00:00; 19/02/2025 08:00:00; 20/02/2025 06:00:00; 20/02/2025 07:00:00; 21/02/2025 08:00:00; 22/02/2025 18:00:00; 23/02/2025 08:00:00; 26/02/2025 08:00:00,51
Exp,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,20/01/2025 07:00:00; 15/02/2025 23:00:00; 16/02/2025 19:42:00; 17/02/2025 07:00:00; 19/02/2025 08:00:00; 20/02/2025 22:00:00; 22/02/2025 07:00:00; 22/02/2025 19:00:00,8
Exp,LASH,PORTO_DE_SANTOS,17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 20/02/2025 06:00:00; 20/02/2025 06:00:00; 25/02/2025 06:00:00; 01/03/2025; 03/03/2025 06:00:00; 09/03/2025 06:00:00; 15/03/2025 06:00:00; 22/03/2025 06:00:00; 23/03/2025 06:00:00,23
Exp,LIQUIDO A GRANEL,PORTO_DE_SANTOS,29/01/2025 14:15:00; 06/02/2025 15:18:00; 15/02/2025 15:30:00; 16/02/2025 03:00:00; 16/02/2025 09:00:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 04:00:00; 19/02/2025 07:00:00; 19/02/2025 11:48:00; 20/02/2025; 20/02/2025 06:00:00,21
Exp,PRIORIDADE C3,PORTO_DE_SANTOS,15/02/2025 19:42:00; 19/02/2025 18:00:00,2
Exp,PRIORIDADE C5,PORTO_DE_SANTOS,17/01/2025 05:48:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025,6
Exp,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,17/02/2025 02:24:00; 18/02/2025 01:00:00; 23/02/2025; 24/02/2025; 06/03/2025; 12/03/2025; 12/03/2025,7
Exp,SEM PRIORIDADE,PORTO_DE_SANTOS,06/02/2025 00:29:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 06:00:00; 18/02/2025 06:00:00; 20/02/2025 06:00:00; 22/02/2025 08:00:00; 23/02/2025 07:00:00; 27/02/2025 07:00:00,19
Imp,CONTEINERES,PORTO_DE_SANTOS,20/02/2025 08:00:00; 21/02/2025 07:00:00,2
