Chegada,Status,Porto,Sentido,Peso,Quantidade
12/02/2025 11:20:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,63000,1
12/02/2025 14:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,64000,1
12/02/2025 16:18:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,68591,1
12/03/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp; Exp,9800; 9800,2
12/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
13/02/2025 04:36:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,63000,1
13/02/2025 11:42:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,66300,1
14/02/2025 02:30:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,8656,1
14/02/2025 11:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,60000,1
14/02/2025 14:20:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,66000,1
14/02/2025 18:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,66000,1
14/02/2025 23:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,69300,1
14/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp; Imp/Exp,3600; 1800 1800,2
14/03/2025 16:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
15/02/2025 08:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,62444,1
15/02/2025 15:30:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,35000,1
15/02/2025 19:42:00,PRIORIDADE C3,PORTO_DE_SANTOS,Exp,55000,1
15/02/2025 22:18:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,66000,1
15/02/2025 23:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,48005,1
15/03/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
15/03/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp,1,1
15/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1800 1800,1
