Mercadoria,Status,Porto,Sentido,Chegada,Quantidade
SOJA,DESPACHADOS,PORTO_DE_PARANAGUA,Exp; Exp,02/02/2025 05:00; 22/01/2025 11:24,2
SOJA,ESPERADOS,PORTO_DE_PARANAGUA,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,28/02/2025 09:00; 27/02/2025 20:00; 27/02/2025 15:00; 27/02/2025 08:00; 25/02/2025 20:00; 25/02/2025 02:00; 23/02/2025 01:00; 22/02/2025 20:00; 22/02/2025 08:00; 20/02/2025 20:00; 20/02/2025 20:00; 19/02/2025 19:00; 18/02/2025 19:00; 17/02/2025 12:00; 10/02/2025 12:00,15
SOJA,PROGRAMADOS,PORTO_DE_PARANAGUA,Exp,06/02/2025 15:36,1
SOJA A GRANEL,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp; Exp,24/01/2025 22:48:00; 01/02/2025 10:42:00; 01/02/2025 14:00:00; 02/02/2025 18:54:00; 03/02/2025 05:36:00; 04/02/2025 07:42:00; 04/02/2025 10:54:00; 04/02/2025 15:30:00; 06/02/2025 22:30:00; 06/02/2025 22:45:00; 08/02/2025 08:30:00; 08/02/2025 19:00:00; 09/02/2025 00:01:00; 09/02/2025 00:01:00; 10/02/2025 11:45:00; 10/02/2025 13:30:00; 11/02/2025 11:30:00; 11/02/2025 21:00:00; 12/02/2025 08:30:00; 12/02/2025 10:00:00; 12/02/2025 11:20:00; 12/02/2025 14:00:00; 12/02/2025 16:18:00; 13/02/2025 04:36:00; 13/02/2025 11:42:00; 14/02/2025 14:20:00; 14/02/2025 18:30:00; 14/02/2025 23:30:00; 15/02/2025 22:18:00; 16/02/2025 00:24:00; 16/02/2025 14:15:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 00:24:00; 17/02/2025 11:15:00; 17/02/2025 14:00:00; 18/02/2025 10:00:00; 18/02/2025 10:00:00; 19/02/2025 08:00:00; 20/02/2025 06:00:00; 20/02/2025 07:00:00; 21/02/2025 08:00:00; 22/02/2025 18:00:00; 23/02/2025 08:00:00,47
SOJA A GRANEL FERTILIZANTES,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp/Exp,04/01/2025 15:00:00,1
SUCOS CITRICOS A GRANEL,SEM PRIORIDADE,PORTO_DE_SANTOS,Exp,22/02/2025 08:00:00,1
SULFATO DE AMONIO,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp; Imp,28/01/2025 11:30; 28/01/2025 11:30; 23/01/2025 13:48; 14/01/2025 16:00; 14/01/2025 16:00,5
SULFATO DE AMONIO,ATRACADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp,02/01/2025 17:30; 21/12/2024 04:30; 21/12/2024 04:30,3
SULFATO DE AMONIO,DESPACHADOS,PORTO_DE_PARANAGUA,Imp; Imp,13/12/2024 23:30; 13/12/2024 23:30,2
"SUPERFOSFATO, MINERAIS OU QUIM",ESPERADOS,PORTO_DE_PARANAGUA,Imp,01/03/2025 12:00,1
UREIA,DESPACHADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp,25/12/2024 18:48; 25/12/2024 18:48; 25/12/2024 18:48,3
UREIA,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp; Imp; Imp,03/03/2025 13:00; 03/03/2025 13:00; 26/02/2025 10:00; 18/02/2025 12:00,4
VEICULO,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp; Exp; Exp; Exp; Exp; Exp,17/02/2025 02:24:00; 23/02/2025; 24/02/2025; 06/03/2025; 12/03/2025; 12/03/2025,6
VEICULO VEICULO,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp,17/02/2025 02:12:00; 23/02/2025,2
VEICULO VEICULO,SEM PRIORIDADE,PORTO_DE_SANTOS,Imp/Exp,17/02/2025,1
VEICULOS,ATRACADOS,PORTO_DE_PARANAGUA,Imp/Exp,15/02/2025 16:00,1
VEICULOS E CARROS BLINDADOS DE,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,16/02/2025 04:24,1
VEICULOS/VRS/CCS.RO-RO,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp,18/02/2025 01:00:00,1
VEICULOS/VRS/CCS.RO-RO VEICULOS/VRS/CCS.RO-RO,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Imp/Exp; Imp/Exp; Imp/Exp,17/02/2025 02:42:00; 21/02/2025 01:00:00; 21/02/2025 01:00:00,3
