Mercadoria,Sentido,Chegada,Status,Quantidade,Porto
SULFATO DE AMONIO,Imp,02/01/2025 17:30,ATRACADOS,0,PORTO_DE_PARANAGUA
SULFATO DE AMONIO,Imp,21/12/2024 04:30,ATRACADOS,0,PORTO_DE_PARANAGUA
SULFATO DE AMONIO,Imp,21/12/2024 04:30,ATRACADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,15/02/2025 16:06,DESPACHADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,15/02/2025 17:30,DESPACHADOS,0,PORTO_DE_PARANAGUA
PASTA QUIM.MADEIRA DE N/CONIF.,Exp,16/02/2025 08:00,DESPACHADOS,0,PORTO_DE_PARANAGUA
VEICULOS E CARROS BLINDADOS DE,Exp,16/02/2025 04:24,DESPACHADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,14/02/2025 15:45,DESPACHADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,14/02/2025 09:30,DESPACHADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,14/02/2025 03:36,DESPACHADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,14/02/2025 09:42,DESPACHADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,14/02/2025 12:30,DESPACHADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,,DESPACHADOS,0,PORTO_DE_PARANAGUA
GASOLINAS,Imp,13/02/2025 22:30,DESPACHADOS,0,PORTO_DE_PARANAGUA
CONTÊINERES (CONTENTORES) INCL,Imp/Exp,14/02/2025 00:00,DESPACHADOS,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,09/02/2025 16:00,DESPACHADOS,0,PORTO_DE_PARANAGUA
METANOL,Imp,04/02/2025 13:00,DESPACHADOS,0,PORTO_DE_PARANAGUA
AÇÚCAR,Exp,02/02/2025 01:00,DESPACHADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,02/02/2025 05:00,DESPACHADOS,0,PORTO_DE_PARANAGUA
FARELO DE SOJA,Exp,29/01/2025 19:00,DESPACHADOS,0,PORTO_DE_PARANAGUA
SOJA,Exp,22/01/2025 11:24,DESPACHADOS,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,27/12/2024 16:00,DESPACHADOS,0,PORTO_DE_PARANAGUA
CLORETOS DE POTASSIO,Imp,27/12/2024 16:00,DESPACHADOS,0,PORTO_DE_PARANAGUA
UREIA,Imp,25/12/2024 18:48,DESPACHADOS,0,PORTO_DE_PARANAGUA
UREIA,Imp,25/12/2024 18:48,DESPACHADOS,0,PORTO_DE_PARANAGUA
UREIA,Imp,25/12/2024 18:48,DESPACHADOS,0,PORTO_DE_PARANAGUA
SULFATO DE AMONIO,Imp,13/12/2024 23:30,DESPACHADOS,0,PORTO_DE_PARANAGUA
SULFATO DE AMONIO,Imp,13/12/2024 23:30,DESPACHADOS,0,PORTO_DE_PARANAGUA
SODA CÁUSTICA,Imp,12/02/2025 22:15,DESPACHADOS,0,PORTO_DE_PARANAGUA
PASSAGEIROS,Imp,22/03/2027 06:00,ESPERADOS,0,PORTO_DE_PARANAGUA
PASSAGEIROS,Exp,20/02/2026 06:00,ESPERADOS,0,PORTO_DE_PARANAGUA
PASSAGEIROS,Imp/Exp,08/02/2026 06:00,ESPERADOS,0,PORTO_DE_PARANAGUA
PASSAGEIROS,Imp/Exp,22/12/2025 06:00,ESPERADOS,0,PORTO_DE_PARANAGUA
"REATORES NUCLEARES, CALDEIRAS,",Imp/Exp,10/04/2025 07:00,ESPERADOS,0,PORTO_DE_PARANAGUA
PASSAGEIROS,Imp/Exp,28/03/2025 08:00,ESPERADOS,0,PORTO_DE_PARANAGUA
