Chegada,Status,Porto,Sentido,Quantidade
09/02/2025 00:01:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp; Exp,2
09/02/2025 07:30,ATRACADOS,PORTO_DE_PARANAGUA,Exp,1
09/02/2025 16:00,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,1
09/03/2025 01:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp,1
09/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
09/03/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp,1
09/03/2025 14:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
10/02/2025 00:01,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 03:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 11:36,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 11:45:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
10/02/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 13:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
10/02/2025 14:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/02/2025 18:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
10/03/2025 07:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
10/03/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,1
10/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp; Imp/Exp,2
10/04/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
11/01/2025 15:16:00,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,Imp,1
11/01/2025 22:12,ATRACADOS,PORTO_DE_PARANAGUA,Imp,1
11/02/2025 02:48,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp,1
11/02/2025 04:18,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
11/02/2025 08:25:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
11/02/2025 11:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
11/02/2025 14:30,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
11/02/2025 19:30,AO LARGO,PORTO_DE_PARANAGUA,Imp,1
11/02/2025 21:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
11/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
11/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp; Imp,2
12/02/2025 03:30,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
12/02/2025 08:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
12/02/2025 10:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
12/02/2025 11:20:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
12/02/2025 14:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
12/02/2025 16:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
12/02/2025 16:18:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
12/02/2025 17:15,ATRACADOS,PORTO_DE_PARANAGUA,Exp,1
12/02/2025 22:15,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,1
12/03/2025,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,Exp; Exp,2
12/03/2025 02:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
13/02/2025 04:36:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
13/02/2025 11:42:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
13/02/2025 22:30,DESPACHADOS,PORTO_DE_PARANAGUA,Imp,1
13/03/2025 12:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
13/12/2024 23:30,DESPACHADOS,PORTO_DE_PARANAGUA,Imp; Imp,2
14/01/2025 04:54,ATRACADOS,PORTO_DE_PARANAGUA,Imp,1
14/01/2025 16:00,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp,2
14/02/2025 00:00,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
14/02/2025 02:30:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Imp,1
14/02/2025 03:36,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
14/02/2025 09:30,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
14/02/2025 09:42,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
14/02/2025 11:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
14/02/2025 12:30,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
14/02/2025 14:20:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
14/02/2025 15:45,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
14/02/2025 18:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
14/02/2025 23:30:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
14/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Exp; Imp/Exp,2
14/03/2025 16:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
15/02/2025 01:48,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
15/02/2025 02:06,ATRACADOS,PORTO_DE_PARANAGUA,Imp,1
15/02/2025 06:00,ATRACADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
15/02/2025 07:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
15/02/2025 08:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp,1
15/02/2025 08:00:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
15/02/2025 09:30,ATRACADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
15/02/2025 15:30:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,1
15/02/2025 16:00,ATRACADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
15/02/2025 16:06,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
15/02/2025 17:10,AO LARGO,PORTO_DE_PARANAGUA,Imp; Imp,2
15/02/2025 17:30,DESPACHADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
15/02/2025 18:30:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
15/02/2025 19:42:00,PRIORIDADE C3,PORTO_DE_SANTOS,Exp,1
15/02/2025 20:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
15/02/2025 22:18:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
15/02/2025 23:00:00,GRANEIS SOLIDOS - EXPORTACAO,PORTO_DE_SANTOS,Exp,1
15/03/2025 03:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
15/03/2025 06:00:00,LASH,PORTO_DE_SANTOS,Exp,1
15/03/2025 08:00:00,CONTEINERES,PORTO_DE_SANTOS,Imp/Exp,1
15/03/2025 19:44,ESPERADOS,PORTO_DE_PARANAGUA,Imp,1
16/01/2025 14:42,AO LARGO PARA REATRACAÇÃO,PORTO_DE_PARANAGUA,Imp,1
16/02/2025 00:01,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
16/02/2025 00:24:00,GRANEIS DE ORIGEM VEGETAL,PORTO_DE_SANTOS,Exp,1
16/02/2025 00:30,AO LARGO,PORTO_DE_PARANAGUA,Imp,1
16/02/2025 03:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,1
16/02/2025 04:24,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,1
16/02/2025 05:42,PROGRAMADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
16/02/2025 07:00,AO LARGO,PORTO_DE_PARANAGUA,Exp,1
16/02/2025 07:00,ESPERADOS,PORTO_DE_PARANAGUA,Imp/Exp,1
16/02/2025 08:00,DESPACHADOS,PORTO_DE_PARANAGUA,Exp,1
16/02/2025 09:00:00,LIQUIDO A GRANEL,PORTO_DE_SANTOS,Exp,1
16/02/2025 12:00,ATRACADOS,PORTO_DE_PARANAGUA,Imp,1
