Sentido,Status,Porto,Chegada,Peso,Quantidade
Imp,ATRACADOS,PORTO_DE_PARANAGUA,17/02/2025 13:30; 16/02/2025 12:00; 15/02/2025 02:06; 11/02/2025 02:48; 31/01/2025 04:24; 19/01/2025 06:00; 18/01/2025 09:00; 18/01/2025 09:00; 14/01/2025 04:54; 11/01/2025 22:12; 02/01/2025 17:30; 21/12/2024 04:30; 21/12/2024 04:30,"37.911,000 Tons.; 4.265,000 Tons.; 33.000,000 Tons.; 33.000,000 Tons.; 27.650,000 Tons.; 33.000,000 Tons.; 31.567,000 Tons.; 8.703,000 Tons.; 24.953,000 Tons.; 38.148,000 Tons.; 58.671,000 Tons.; 15.000,000 Tons.; 53.223,000 Tons.",13
Imp,CONTEINERES,PORTO_DE_SANTOS,20/02/2025 08:00:00; 21/02/2025 07:00:00,2700; 2772,2
Imp,DESPACHADOS,PORTO_DE_PARANAGUA,13/02/2025 22:30; 09/02/2025 16:00; 04/02/2025 13:00; 27/12/2024 16:00; 27/12/2024 16:00; 12/02/2025 22:15,"25.000,000 Tons.; 11.000,000 Tons.; 33.742,000 Tons.; 17.961,000 Tons.; 15.900,000 Tons.; 7.660,000 Tons.",6
Imp,ESPERADOS,PORTO_DE_PARANAGUA,22/03/2027 06:00; 15/03/2025 19:44; 11/03/2025 12:00; 10/03/2025 12:00; 10/03/2025 08:00; 07/03/2025 20:00; 04/03/2025 19:00; 04/03/2025 07:00; 03/03/2025 13:00; 03/03/2025 13:00; 03/03/2025 12:00; 01/03/2025 12:00; 28/02/2025 08:00; 28/02/2025 06:00; 27/02/2025 12:00; 27/02/2025 07:00; 26/02/2025 10:00; 25/02/2025 06:00; 24/02/2025 07:00; 22/02/2025 12:00; 22/02/2025 08:00; 22/02/2025 08:00; 21/02/2025 08:00; 20/02/2025 19:00; 20/02/2025 19:00; 20/02/2025 08:00; 20/02/2025 08:00; 19/02/2025 12:00; 19/02/2025 08:00; 19/02/2025 07:00; 19/02/2025 07:00; 18/02/2025 12:00; 18/02/2025 07:00; 18/02/2025 07:00; 15/02/2025 08:00,"0,000 Tons.; 20.900,000 Tons.; 17.330,000 Tons.; 34.000,000 Tons.; 17.000,000 Tons.; 15.005,000 Tons.; 1.600,000 Tons.; 44.000,000 Tons.; 6.200,000 Tons.; 10.000,000 Tons.; 14.000,000 Tons.; 21.557,000 Tons.; 10.000,000 Tons.; 4.720,000 Tons.; 52.498,000 Tons.; 45.350,000 Tons.; 27.500,000 Tons.; 32.000,000 Tons.; 52.500,000 Tons.; 25.000,000 Tons.; 21.700,000 Tons.; 3.300,000 Tons.; 2.359,000 Tons.; 13.000,000 Tons.; 20.048,000 Tons.; 37.000,000 Tons.; 35.933,000 Tons.; 59.935,000 Tons.; 9.900,000 Tons.; 3.500,000 Tons.; 24.001,000 Tons.; 60.000,000 Tons.; 25.000,000 Tons.; 12.034,000 Tons.; 11.000,000 Tons.",35
Imp,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,11/01/2025 15:16:00; 19/01/2025 19:00:00; 21/01/2025 16:12:00; 07/02/2025 16:10:00; 16/02/2025 12:50:00; 17/02/2025; 17/02/2025 15:00:00; 18/02/2025; 18/02/2025 05:00:00; 18/02/2025 10:00:00; 19/02/2025 22:00:00; 20/02/2025 07:00:00; 20/02/2025 10:00:00; 21/02/2025 10:00:00; 21/02/2025 13:00:00; 22/02/2025; 22/02/2025 05:00:00; 08/03/2025 07:00:00,17499; 35727; 35002; 43050; 16000; 23451; 17729; 7500; 51900; 6500; 15000; 40732; 10720; 9000; 18140; 18784; 13793; 34900,18
Imp,LIQUIDO A GRANEL,PORTO_DE_SANTOS,06/01/2025 09:30:00; 08/02/2025 13:42:00; 14/02/2025 02:30:00; 17/02/2025 16:00:00; 18/02/2025; 18/02/2025 05:00:00; 18/02/2025 13:00:00; 19/02/2025 05:00:00; 22/02/2025 06:00:00; 27/02/2025 16:18:00,6000; 4000; 8656; 6000; 2199; 8526; 9400; 8715; 6320; 15000,10
Imp,PROGRAMADOS,PORTO_DE_PARANAGUA,,"33.000,000 Tons.; 28.477,000 Tons.",2
Imp,SEM PRIORIDADE,PORTO_DE_SANTOS,20/02/2025 07:00:00; 23/02/2025 18:00:00,5755; 1899,2
Imp/Exp,AO LARGO,PORTO_DE_PARANAGUA,17/02/2025 00:30,600 Movs.,1
Imp/Exp,ATRACADOS,PORTO_DE_PARANAGUA,15/02/2025 09:30,1.050 Movs.,1
Imp/Exp,CONTEINERES,PORTO_DE_SANTOS,11/02/2025 08:25:00; 16/02/2025 15:12:00; 16/02/2025 18:18:00; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025; 17/02/2025 07:00:00; 17/02/2025 10:00:00; 17/02/2025 10:00:00; 17/02/2025 10:42:00; 17/02/2025 11:00:00; 17/02/2025 12:00:00; 17/02/2025 22:00:00; 18/02/2025; 18/02/2025 08:00:00; 18/02/2025 12:00:00; 18/02/2025 13:00:00; 19/02/2025 02:00:00; 19/02/2025 09:00:00; 19/02/2025 12:00:00; 19/02/2025 13:00:00; 19/02/2025 17:00:00; 20/02/2025 02:00:00; 20/02/2025 07:00:00; 20/02/2025 07:00:00; 20/02/2025 12:00:00; 20/02/2025 15:00:00; 20/02/2025 15:00:00; 21/02/2025 03:00:00; 21/02/2025 08:00:00; 21/02/2025 08:00:00; 21/02/2025 11:29:00; 22/02/2025; 22/02/2025; 22/02/2025 03:00:00; 22/02/2025 10:00:00; 22/02/2025 13:00:00; 23/02/2025; 23/02/2025; 23/02/2025 02:00:00; 23/02/2025 05:00:00; 23/02/2025 12:00:00; 23/02/2025 14:00:00; 23/02/2025 14:00:00; 23/02/2025 18:00:00; 24/02/2025; 24/02/2025; 24/02/2025 07:00:00; 24/02/2025 07:00:00; 24/02/2025 12:00:00; 24/02/2025 12:00:00; 25/02/2025; 25/02/2025 04:00:00; 25/02/2025 08:00:00; 26/02/2025; 26/02/2025; 26/02/2025 02:00:00; 26/02/2025 07:00:00; 26/02/2025 12:00:00; 27/02/2025 01:00:00; 27/02/2025 01:01:00; 27/02/2025 07:00:00; 27/02/2025 13:00:00; 27/02/2025 20:00:00; 28/02/2025 03:00:00; 28/02/2025 08:00:00; 28/02/2025 08:01:00; 01/03/2025 01:00:00; 01/03/2025 03:00:00; 02/03/2025 01:00:00; 02/03/2025 07:00:00; 02/03/2025 14:00:00; 03/03/2025 11:00:00; 03/03/2025 11:00:00; 04/03/2025 08:00:00; 05/03/2025 02:00:00; 06/03/2025 02:00:00; 06/03/2025 07:00:00; 06/03/2025 20:00:00; 07/03/2025 08:00:00; 07/03/2025 08:00:00; 08/03/2025 03:00:00; 08/03/2025 06:30:00; 08/03/2025 08:00:00; 09/03/2025 02:00:00; 09/03/2025 14:00:00; 10/03/2025 07:00:00; 11/03/2025 08:00:00; 12/03/2025 02:00:00; 14/03/2025 08:00:00; 14/03/2025 16:00:00; 15/03/2025 03:00:00; 15/03/2025 08:00:00; 16/03/2025 02:00:00; 16/03/2025 18:00:00; 17/03/2025 13:00:00; 17/03/2025 13:00:00; 17/03/2025 17:00:00; 18/03/2025 08:00:00; 19/03/2025 02:00:00; 20/03/2025 02:00:00; 20/03/2025 20:00:00; 21/03/2025 08:00:00; 21/03/2025 16:00:00; 22/03/2025 02:00:00; 22/03/2025 03:00:00; 22/03/2025 13:00:00; 22/03/2025 19:00:00; 23/03/2025 02:00:00; 23/03/2025 14:00:00; 25/03/2025 08:00:00; 27/03/2025 02:00:00; 27/03/2025 20:00:00; 28/03/2025 08:00:00; 28/03/2025 16:00:00; 29/03/2025 02:00:00; 29/03/2025 08:00:00; 30/03/2025 02:00:00; 30/03/2025 18:00:00; 31/03/2025 11:00:00; 05/04/2025 02:00:00; 06/04/2025 02:00:00; 06/04/2025 18:00:00,4500 6300; 18000 1800; 3600 5400; 10800 3600; 5400 5400; 1800 1800; 27000 1800; 17370 360; 1800 1800; 1800 1800; 9000 3600; 18666 126; 1800 1800; 1800 27000; 1800 27000; 27000 1800; 27000 1800; 1800 27000; 27000 1800; 5100 44209; 1800 14400; 1800 27000; 27000 1800; 1800 14400; 21852 180; 15300 1530; 3600 3600; 4500 6300; 12600 4500; 1800 1800; 1800 1800; 7200 7200; 1800 27000; 5100 19104; 1800 1800; 1800 1800; 15300 1530; 1800 1800; 1800 12600; 1800 1800; 1620 15300; 7200 7200; 1800 1800; 10800 3600; 4536 360; 1800 1800; 12600 4500; 18000 1800; 18000 1800; 3600 3600; 1800 1800; 1800 1800; 27000 1800; 12600 4500; 1800 1800; 18666 126; 16956 486; 1800 1800; 1800 1800; 1800 1800; 1800 27000; 1800 1800; 7200 7200; 1800 1800; 1800 1800; 1800 1800; 27000 1800; 4500 6300; 3600 10800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 12600 4500; 1800 1800; 1800 1800; 5400 3600; 1800 1800; 1800 1800; 1800 1800; 4536 360; 17370 360; 1800 1800; 1530 15300; 1800 1800; 3600 3600; 1800 1800; 1800 1800; 1800 1800; 18666 126; 1800 1800; 1800 1800; 1530 15300; 1800 1800; 1800 1800; 1800 1800; 3600 3600; 1800 1800; 3600 3600; 1800 1800; 1800 1800; 1530 15300; 1800 1800; 1800 1800; 1800 1800; 4500 6300; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1530 15300; 18666 126; 1530 15300; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 15300 1530; 15300 1530; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800; 1800 1800,143
Imp/Exp,DESPACHADOS,PORTO_DE_PARANAGUA,15/02/2025 16:06; 16/02/2025 19:00; 15/02/2025 17:30; 15/02/2025 16:00; 14/02/2025 15:45; 15/02/2025 06:00; 14/02/2025 09:30; 14/02/2025 03:36; 14/02/2025 09:42,"597 Movs.; 600 Movs.; 319 Movs.; 93 Movs.; 1.495 Movs.; 1.138,000 Tons.; 2.008,000 Tons.; 891 Movs.; 940 Movs.",9
Imp/Exp,ESPERADOS,PORTO_DE_PARANAGUA,08/02/2026 06:00; 22/12/2025 06:00; 10/04/2025 07:00; 28/03/2025 08:00; 20/03/2025 12:00; 16/03/2025 12:00; 13/03/2025 12:00; 11/03/2025 12:00; 10/03/2025 12:00; 07/03/2025 07:00; 06/03/2025 12:00; 03/03/2025 20:00; 03/03/2025 12:00; 28/02/2025 12:00; 28/02/2025 12:00; 27/02/2025 21:00; 27/02/2025 17:00; 27/02/2025 12:00; 27/02/2025 12:00; 27/02/2025 12:00; 27/02/2025 07:00; 27/02/2025 07:00; 26/02/2025 13:00; 26/02/2025 05:00; 26/02/2025 01:00; 25/02/2025 13:00; 25/02/2025 12:00; 25/02/2025 08:00; 24/02/2025 18:00; 24/02/2025 07:00; 23/02/2025 05:00; 21/02/2025 19:00; 21/02/2025 07:00; 21/02/2025 07:00; 21/02/2025 07:00; 20/02/2025 19:00; 20/02/2025 07:00; 19/02/2025 14:00; 19/02/2025 14:00; 19/02/2025 08:00; 19/02/2025 07:00; 19/02/2025 07:00; 19/02/2025 06:00; 19/02/2025 05:00; 19/02/2025 02:00; 18/02/2025 21:00; 18/02/2025 15:00; 18/02/2025 12:00; 18/02/2025 09:00; 17/02/2025 00:00,"0,000 Tons.; 0,000 Tons.; 35.000,000 Tons.; 237,000 Tons.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 500 Movs.; 1.050 Movs.; 500 Movs.; 1.050 Movs.; 1.050 Movs.; 1.050 Movs.; 1.300 Movs.; 500 Movs.; 800 Movs.; 1.050 Movs.; 1.050 Movs.; 750 Movs.; 3.659,000 Tons.; 500 Movs.; 315 Movs.; 1.000 Movs.; 1.050 Movs.; 1.050 Movs.; 500 Movs.; 1.300 Movs.; 5.000,000 Tons.; 500 Movs.; 500 Movs.; 600 Movs.; 600 Movs.; 600 Movs.; 1.050 Movs.; 500 Movs.; 1.400 Movs.; 1.000 Movs.; 500 Movs.; 600 Movs.; 35.000,000 Tons.; 500 Movs.; 800 Movs.; 1.050 Movs.; 500 Movs.; 1.000 Movs.; 1.050 Movs.; 500 Movs.; 1.000 Movs.",50
Imp/Exp,GRANEIS SOLIDOS - IMPORTACAO,PORTO_DE_SANTOS,04/01/2025 15:00:00,70804 77500,1
Imp/Exp,LIQUIDO A GRANEL,PORTO_DE_SANTOS,20/02/2025,300 21663,1
Imp/Exp,PROGRAMADOS,PORTO_DE_PARANAGUA,16/02/2025 05:42,"0,000 Tons.; 1.050 Movs.; 650 Movs.",3
Imp/Exp,ROLL-IN-ROLL-OFF,PORTO_DE_SANTOS,17/02/2025 02:12:00; 17/02/2025 02:42:00; 19/02/2025; 19/02/2025; 21/02/2025 01:00:00; 21/02/2025 01:00:00; 23/02/2025; 02/03/2025,196 1508; 1062 52; 3600 3600; 5500 5500; 2 2; 500 500; 9800 18; 3600 3600,8
Imp/Exp,SEM PRIORIDADE,PORTO_DE_SANTOS,17/02/2025; 20/02/2025,9800 26860; 21000 31500,2
